Observed and Forecast Stages for (ROST2)

Observed Data:
|Date(CDT)|	|Stage|	|--Flow-|
08/25 19:30	7.34ft	2.3kcfs
08/25 19:15	7.33ft	2.29kcfs
08/25 19:00	7.24ft	2.22kcfs
08/25 18:46	7.24ft	2.22kcfs
08/25 18:45	7.22ft	2.21kcfs
08/25 18:30	7.24ft	2.22kcfs
08/25 18:15	7.21ft	2.2kcfs
08/25 18:00	7.19ft	2.19kcfs
08/25 17:45	7.14ft	2.15kcfs
08/25 17:30	7.15ft	2.16kcfs
08/25 17:15	7.13ft	2.14kcfs
08/25 17:00	7.09ft	2.11kcfs
08/25 16:45	7.11ft	2.13kcfs
08/25 16:30	7.09ft	2.11kcfs
08/25 16:15	7.10ft	2.12kcfs
08/25 16:00	7.07ft	2.1kcfs
08/25 15:45	7.07ft	2.1kcfs
08/25 15:30	7.06ft	2.09kcfs
08/25 15:15	7.08ft	2.11kcfs
08/25 15:00	7.11ft	2.13kcfs
08/25 14:45	7.09ft	2.11kcfs
08/25 14:30	7.10ft	2.12kcfs
08/25 14:15	7.08ft	2.11kcfs
08/25 14:00	7.05ft	2.08kcfs
08/25 13:45	7.10ft	2.12kcfs
08/25 13:30	7.13ft	2.14kcfs
08/25 13:15	7.10ft	2.12kcfs
08/25 13:00	7.14ft	2.15kcfs
08/25 12:45	7.12ft	2.13kcfs
08/25 12:30	7.15ft	2.16kcfs
08/25 12:15	7.15ft	2.16kcfs
08/25 12:00	7.16ft	2.16kcfs
08/25 11:45	7.16ft	2.16kcfs
08/25 11:30	7.16ft	2.16kcfs
08/25 11:15	7.15ft	2.16kcfs
08/25 11:00	7.14ft	2.15kcfs
08/25 10:45	7.16ft	2.16kcfs
08/25 10:30	7.14ft	2.15kcfs
08/25 10:15	7.14ft	2.15kcfs
08/25 10:00	7.12ft	2.13kcfs
08/25 09:45	7.12ft	2.13kcfs
08/25 09:30	7.11ft	2.13kcfs
08/25 09:15	7.07ft	2.1kcfs
08/25 09:00	7.05ft	2.08kcfs
08/25 08:45	7.01ft	2.06kcfs
08/25 08:30	7.01ft	2.06kcfs
08/25 08:15	6.99ft	2.04kcfs
08/25 08:00	6.98ft	2.03kcfs
08/25 07:45	6.94ft	2.01kcfs
08/25 07:30	6.92ft	1.99kcfs
08/25 07:15	6.91ft	1.98kcfs
08/25 07:00	6.90ft	1.98kcfs
08/25 06:45	6.90ft	1.98kcfs
08/25 06:30	6.90ft	1.98kcfs
08/25 06:15	6.90ft	1.98kcfs
08/25 06:00	6.89ft	1.97kcfs
08/25 05:45	6.90ft	1.98kcfs
08/25 05:30	6.89ft	1.97kcfs
08/25 05:15	6.89ft	1.97kcfs
08/25 05:00	6.89ft	1.97kcfs
08/25 04:45	6.89ft	1.97kcfs
08/25 04:30	6.89ft	1.97kcfs
08/25 04:15	6.88ft	1.96kcfs
08/25 04:00	6.87ft	1.95kcfs
08/25 03:45	6.87ft	1.95kcfs
08/25 03:30	6.87ft	1.95kcfs
08/25 03:15	6.87ft	1.95kcfs
08/25 03:00	6.86ft	1.94kcfs
08/25 02:45	6.86ft	1.94kcfs
08/25 02:30	6.86ft	1.94kcfs
08/25 02:15	6.85ft	1.94kcfs
08/25 02:00	6.85ft	1.94kcfs
08/25 01:45	6.85ft	1.94kcfs
08/25 01:30	6.84ft	1.93kcfs
08/25 01:15	6.84ft	1.93kcfs
08/25 01:00	6.84ft	1.93kcfs
08/25 00:45	6.83ft	1.92kcfs
08/25 00:30	6.82ft	1.91kcfs
08/25 00:15	6.82ft	1.91kcfs
08/25 00:00	6.81ft	1.9kcfs
08/24 23:45	6.79ft	1.88kcfs
08/24 23:30	6.79ft	1.88kcfs
08/24 23:15	6.78ft	1.88kcfs
08/24 23:00	6.77ft	1.87kcfs
08/24 22:45	6.75ft	1.85kcfs
08/24 22:30	6.74ft	1.84kcfs
08/24 22:15	6.73ft	1.83kcfs
08/24 22:00	6.72ft	1.83kcfs
08/24 21:45	6.71ft	1.82kcfs
08/24 21:30	6.70ft	1.81kcfs
08/24 21:15	6.69ft	1.8kcfs
08/24 21:00	6.68ft	1.79kcfs
08/24 20:45	6.67ft	1.79kcfs
08/24 20:30	6.65ft	1.77kcfs
08/24 20:15	6.65ft	1.77kcfs
08/24 20:00	6.63ft	1.75kcfs
08/24 19:45	6.63ft	1.75kcfs
08/24 19:30	6.61ft	1.74kcfs
08/24 19:15	6.60ft	1.73kcfs
08/24 19:00	6.59ft	1.72kcfs
08/24 18:45	6.58ft	1.72kcfs
08/24 18:30	6.58ft	1.72kcfs
08/24 18:15	6.56ft	1.7kcfs
08/24 18:00	6.56ft	1.7kcfs
08/24 17:45	6.56ft	1.7kcfs
08/24 17:30	6.54ft	1.68kcfs
08/24 17:15	6.55ft	1.69kcfs
08/24 17:00	6.54ft	1.68kcfs
08/24 16:45	6.54ft	1.68kcfs
08/24 16:30	6.49ft	1.65kcfs
08/24 16:15	6.58ft	1.72kcfs
08/24 16:00	6.52ft	1.67kcfs
08/24 15:45	6.47ft	1.63kcfs
08/24 15:30	6.51ft	1.66kcfs
08/24 15:15	6.52ft	1.67kcfs
08/24 15:00	6.53ft	1.68kcfs
08/24 14:45	6.52ft	1.67kcfs
08/24 14:30	6.53ft	1.68kcfs
08/24 14:15	6.52ft	1.67kcfs
08/24 14:00	6.52ft	1.67kcfs
08/24 13:45	6.53ft	1.68kcfs
08/24 13:30	6.52ft	1.67kcfs
08/24 13:15	6.53ft	1.68kcfs
08/24 13:00	6.53ft	1.68kcfs
08/24 12:45	6.52ft	1.67kcfs
08/24 12:30	6.53ft	1.68kcfs
08/24 12:15	6.53ft	1.68kcfs
08/24 12:00	6.52ft	1.67kcfs
08/24 11:45	6.52ft	1.67kcfs
08/24 11:30	6.52ft	1.67kcfs
08/24 11:15	6.52ft	1.67kcfs
08/24 11:00	6.51ft	1.66kcfs
Forecast Data (Issued 08-27-2017 08:40:00 CDT):
|Date(CDT)|   |Stage| |--Flow-|
08/27 13:00   46.70ft 57.4kcfs
08/27 19:00   51.50ft 78.1kcfs
08/28 01:00   51.90ft 87.3kcfs
08/28 07:00   52.00ft 91.1kcfs
08/28 13:00   52.30ft 103kcfs
08/28 19:00   52.50ft 114kcfs
08/29 01:00   52.60ft 119kcfs
08/29 07:00   52.50ft 114kcfs
08/29 13:00   52.40ft 108kcfs
08/29 19:00   52.30ft 103kcfs
08/30 01:00   52.20ft 99.1kcfs
08/30 07:00   52.30ft 103kcfs
08/30 13:00   52.40ft 108kcfs
08/30 19:00   52.30ft 103kcfs
08/31 01:00   52.20ft 99.1kcfs
08/31 07:00   52.00ft 91.1kcfs
08/31 13:00   51.90ft 87.3kcfs
08/31 19:00   51.80ft 83.7kcfs
09/01 01:00   51.80ft 83.7kcfs
09/01 07:00   51.70ft 81.8kcfs
