Observed and Forecast Stages for (WCBT2)

Observed Data:
|Date(CDT)|	|Stage|	|--Flow-|
08/24 11:45	2.01ft	-999kcfs
08/24 11:30	2.08ft	-999kcfs
08/24 11:15	2.11ft	-999kcfs
08/24 11:00	2.16ft	-999kcfs
08/24 10:45	2.18ft	-999kcfs
08/24 10:30	2.22ft	-999kcfs
08/24 10:15	2.31ft	-999kcfs
08/24 10:00	2.31ft	-999kcfs
08/24 09:45	2.35ft	-999kcfs
08/24 08:30	2.41ft	-999kcfs
08/24 08:15	2.56ft	-999kcfs
08/24 08:00	2.45ft	-999kcfs
08/24 07:45	2.43ft	-999kcfs
08/24 07:30	2.40ft	-999kcfs
08/24 07:15	2.36ft	-999kcfs
08/24 07:00	2.27ft	-999kcfs
08/24 06:45	2.17ft	-999kcfs
08/24 06:30	2.05ft	-999kcfs
08/24 06:15	1.98ft	-999kcfs
08/24 06:00	1.96ft	-999kcfs
08/24 05:45	1.94ft	-999kcfs
08/24 05:30	1.84ft	-999kcfs
08/24 05:15	1.75ft	-999kcfs
08/24 05:00	1.63ft	-999kcfs
08/24 04:45	1.53ft	-999kcfs
08/24 04:30	1.54ft	-999kcfs
08/24 04:15	1.50ft	-999kcfs
08/24 04:00	1.44ft	-999kcfs
08/24 03:45	1.37ft	-999kcfs
08/24 03:30	1.31ft	-999kcfs
08/24 03:15	1.27ft	-999kcfs
08/24 03:00	1.24ft	-999kcfs
08/24 02:45	1.20ft	-999kcfs
08/24 02:30	1.19ft	-999kcfs
08/24 02:15	1.16ft	-999kcfs
08/24 02:00	1.15ft	-999kcfs
08/24 01:45	1.20ft	-999kcfs
08/24 01:30	1.15ft	-999kcfs
08/24 01:15	1.25ft	-999kcfs
08/24 01:00	1.25ft	-999kcfs
08/24 00:45	1.26ft	-999kcfs
08/24 00:30	1.29ft	-999kcfs
08/24 00:15	1.34ft	-999kcfs
08/24 00:00	1.39ft	-999kcfs
08/23 23:45	1.45ft	-999kcfs
08/23 23:30	1.50ft	-999kcfs
08/23 23:15	1.53ft	-999kcfs
08/23 23:00	1.60ft	-999kcfs
08/23 22:45	1.65ft	-999kcfs
08/23 22:30	1.73ft	-999kcfs
08/23 22:15	1.80ft	-999kcfs
08/23 22:00	1.89ft	-999kcfs
08/23 21:45	1.93ft	-999kcfs
08/23 21:30	1.98ft	-999kcfs
08/23 21:15	2.00ft	-999kcfs
08/23 21:00	2.06ft	-999kcfs
08/23 20:45	2.06ft	-999kcfs
08/23 20:30	2.12ft	-999kcfs
08/23 20:15	2.14ft	-999kcfs
08/23 20:00	2.14ft	-999kcfs
08/23 19:45	2.17ft	-999kcfs
08/23 19:30	2.25ft	-999kcfs
08/23 19:15	2.20ft	-999kcfs
08/23 19:00	2.25ft	-999kcfs
08/23 18:45	2.16ft	-999kcfs
08/23 18:30	2.14ft	-999kcfs
08/23 18:15	2.06ft	-999kcfs
08/23 18:00	2.09ft	-999kcfs
08/23 17:45	1.97ft	-999kcfs
08/23 17:30	1.94ft	-999kcfs
08/23 17:15	1.85ft	-999kcfs
08/23 17:00	1.73ft	-999kcfs
08/23 16:46	1.63ft	-999kcfs
08/23 16:45	1.63ft	-999kcfs
08/23 16:30	1.56ft	-999kcfs
08/23 16:15	1.48ft	-999kcfs
08/23 16:00	1.49ft	-999kcfs
08/23 15:45	1.43ft	-999kcfs
08/23 15:30	1.50ft	-999kcfs
08/23 15:15	1.46ft	-999kcfs
08/23 15:00	1.43ft	-999kcfs
08/23 14:45	1.45ft	-999kcfs
08/23 14:30	1.40ft	-999kcfs
08/23 14:15	1.45ft	-999kcfs
08/23 14:00	1.49ft	-999kcfs
08/23 13:45	1.48ft	-999kcfs
08/23 13:30	1.50ft	-999kcfs
Forecast Data (Issued 08-26-2017 09:14:00 CDT):
|Date(CDT)|   |Stage| |--Flow-|
08/26 19:00   14.50ft 17.9kcfs
08/27 01:00   20.80ft 36.4kcfs
08/27 07:00   26.80ft 58.6kcfs
08/27 13:00   31.70ft 81.8kcfs
08/27 19:00   34.20ft 102kcfs
08/28 01:00   36.20ft -999kcfs
08/28 07:00   37.70ft -999kcfs
08/28 13:00   38.60ft -999kcfs
08/28 19:00   39.00ft -999kcfs
08/29 01:00   39.40ft -999kcfs
08/29 07:00   39.90ft -999kcfs
08/29 13:00   40.50ft -999kcfs
08/29 19:00   40.80ft -999kcfs
08/30 01:00   40.50ft -999kcfs
08/30 07:00   39.80ft -999kcfs
08/30 13:00   38.60ft -999kcfs
08/30 19:00   37.30ft -999kcfs
08/31 01:00   35.90ft 114kcfs
08/31 07:00   34.70ft 106kcfs
