Observed and Forecast Stages for (ROST2)

Observed Data:
|Date(CDT)|	|Stage|	|--Flow-|
08/29 17:01	52.63ft	121kcfs
08/29 17:00	52.67ft	123kcfs
08/29 16:46	52.67ft	123kcfs
08/29 16:45	52.67ft	123kcfs
08/29 16:31	52.67ft	123kcfs
08/29 16:30	52.65ft	122kcfs
08/29 16:16	52.65ft	122kcfs
08/29 16:15	52.64ft	121kcfs
08/29 16:01	52.64ft	121kcfs
08/29 16:00	52.63ft	121kcfs
08/29 15:45	52.67ft	123kcfs
08/29 15:31	52.67ft	123kcfs
08/29 15:30	52.62ft	120kcfs
08/29 15:15	52.64ft	121kcfs
08/29 15:01	52.64ft	121kcfs
08/29 15:00	52.63ft	121kcfs
08/29 14:45	52.66ft	122kcfs
08/29 14:30	52.61ft	120kcfs
08/29 14:15	52.63ft	121kcfs
08/29 14:01	52.63ft	121kcfs
08/29 14:00	52.64ft	121kcfs
08/29 13:45	52.64ft	121kcfs
08/29 13:31	52.64ft	121kcfs
08/29 13:30	52.62ft	120kcfs
08/29 13:16	52.62ft	120kcfs
08/29 13:15	52.63ft	121kcfs
08/29 13:01	52.63ft	121kcfs
08/29 13:00	52.66ft	122kcfs
08/29 12:46	52.66ft	122kcfs
08/29 12:45	52.64ft	121kcfs
08/29 12:30	52.59ft	119kcfs
08/29 12:16	52.59ft	119kcfs
08/29 12:15	52.61ft	120kcfs
08/29 12:01	52.61ft	120kcfs
08/29 12:00	52.57ft	118kcfs
08/29 11:46	52.57ft	118kcfs
08/29 11:45	52.59ft	119kcfs
08/29 11:31	52.59ft	119kcfs
08/29 11:30	52.59ft	119kcfs
08/29 11:16	52.59ft	119kcfs
08/29 11:15	52.59ft	119kcfs
08/29 11:01	52.59ft	119kcfs
08/29 11:00	52.58ft	118kcfs
08/29 10:46	52.58ft	118kcfs
08/29 10:45	52.58ft	118kcfs
08/29 10:31	52.58ft	118kcfs
08/29 10:30	52.59ft	119kcfs
08/29 10:16	52.59ft	119kcfs
08/29 10:15	52.57ft	118kcfs
08/29 10:00	52.57ft	118kcfs
08/29 09:45	52.56ft	117kcfs
08/29 09:31	52.56ft	117kcfs
08/29 09:30	52.57ft	118kcfs
08/29 09:16	52.57ft	118kcfs
08/29 09:15	52.53ft	115kcfs
08/29 09:01	52.53ft	115kcfs
08/29 09:00	52.56ft	117kcfs
08/29 08:46	52.56ft	117kcfs
08/29 08:45	52.54ft	116kcfs
08/29 08:31	52.54ft	116kcfs
08/29 08:30	52.52ft	115kcfs
08/29 08:16	52.52ft	115kcfs
08/29 08:15	52.51ft	114kcfs
08/29 08:01	52.51ft	114kcfs
08/29 08:00	52.50ft	114kcfs
08/29 07:46	52.50ft	114kcfs
08/29 07:45	52.51ft	114kcfs
08/29 07:31	52.51ft	114kcfs
08/29 07:30	52.50ft	114kcfs
08/29 07:15	52.50ft	114kcfs
08/29 07:01	52.50ft	114kcfs
08/29 07:00	52.48ft	113kcfs
08/29 06:45	52.47ft	112kcfs
08/29 06:30	52.45ft	111kcfs
08/29 06:16	52.45ft	111kcfs
08/29 06:15	52.47ft	112kcfs
08/29 06:01	52.47ft	112kcfs
08/29 06:00	52.43ft	110kcfs
08/29 05:46	52.43ft	110kcfs
08/29 05:45	52.47ft	112kcfs
08/29 05:30	52.44ft	111kcfs
08/29 05:16	52.44ft	111kcfs
08/29 05:15	52.45ft	111kcfs
08/29 05:01	52.45ft	111kcfs
08/29 05:00	52.42ft	109kcfs
08/29 04:46	52.42ft	109kcfs
08/29 04:45	52.37ft	107kcfs
08/29 04:30	52.42ft	109kcfs
08/29 04:15	52.40ft	108kcfs
08/29 04:01	52.40ft	108kcfs
08/29 04:00	52.37ft	107kcfs
08/29 03:46	52.37ft	107kcfs
08/29 03:45	52.37ft	107kcfs
08/29 03:31	52.37ft	107kcfs
08/29 03:30	52.35ft	106kcfs
08/29 03:16	52.35ft	106kcfs
08/29 03:15	52.35ft	106kcfs
08/29 03:01	52.35ft	106kcfs
08/29 03:00	52.35ft	106kcfs
08/29 02:45	52.29ft	103kcfs
08/29 02:31	52.29ft	103kcfs
08/29 02:30	52.28ft	103kcfs
08/29 02:16	52.28ft	103kcfs
08/29 02:15	52.25ft	101kcfs
08/29 02:01	52.25ft	101kcfs
08/29 02:00	52.27ft	102kcfs
08/29 01:46	52.27ft	102kcfs
08/29 01:45	52.23ft	100kcfs
08/29 01:30	52.21ft	99.5kcfs
08/29 01:16	52.21ft	99.5kcfs
08/29 01:15	52.19ft	98.7kcfs
08/29 01:00	52.19ft	98.7kcfs
08/29 00:46	52.19ft	98.7kcfs
08/29 00:45	52.18ft	98.3kcfs
08/29 00:31	52.18ft	98.3kcfs
08/29 00:30	52.16ft	97.5kcfs
08/29 00:16	52.16ft	97.5kcfs
08/29 00:15	52.14ft	96.6kcfs
08/29 00:01	52.14ft	96.6kcfs
08/29 00:00	52.12ft	95.8kcfs
08/28 23:45	52.09ft	94.6kcfs
08/28 23:31	52.09ft	94.6kcfs
08/28 23:30	52.10ft	95kcfs
08/28 23:16	52.10ft	95kcfs
08/28 23:15	52.08ft	94.2kcfs
08/28 23:01	52.08ft	94.2kcfs
08/28 23:00	52.06ft	93.4kcfs
08/28 22:45	52.06ft	93.4kcfs
08/28 22:31	52.06ft	93.4kcfs
08/28 22:30	52.04ft	92.6kcfs
08/28 22:16	52.04ft	92.6kcfs
08/28 22:15	52.03ft	92.3kcfs
08/28 22:01	52.03ft	92.3kcfs
08/28 22:00	52.03ft	92.3kcfs
08/28 21:46	52.03ft	92.3kcfs
08/28 21:45	52.00ft	91.1kcfs
08/28 21:31	52.00ft	91.1kcfs
08/28 21:30	51.96ft	89.6kcfs
08/28 21:16	51.96ft	89.6kcfs
08/28 21:15	51.97ft	89.9kcfs
08/28 21:01	51.97ft	89.9kcfs
08/28 21:00	51.93ft	88.4kcfs
08/28 20:46	51.93ft	88.4kcfs
08/28 20:45	51.89ft	86.9kcfs
08/28 20:31	51.89ft	86.9kcfs
08/28 20:30	51.90ft	87.3kcfs
08/28 20:15	51.89ft	86.9kcfs
08/28 20:01	51.89ft	86.9kcfs
08/28 20:00	51.87ft	86.2kcfs
08/28 19:45	51.85ft	85.5kcfs
08/28 19:31	51.85ft	85.5kcfs
08/28 19:30	51.83ft	84.8kcfs
08/28 19:15	51.80ft	83.7kcfs
08/28 19:01	51.80ft	83.7kcfs
08/28 19:00	51.79ft	83.5kcfs
08/28 18:46	51.79ft	83.5kcfs
08/28 18:45	51.75ft	82.7kcfs
08/28 18:31	51.75ft	82.7kcfs
08/28 18:30	51.74ft	82.6kcfs
08/28 18:16	51.74ft	82.6kcfs
08/28 18:15	51.68ft	81.4kcfs
08/28 18:01	51.68ft	81.4kcfs
08/28 18:00	51.66ft	81.1kcfs
08/28 17:46	51.66ft	81.1kcfs
08/28 17:45	51.65ft	80.9kcfs
08/28 17:30	51.59ft	79.8kcfs
08/28 17:16	51.59ft	79.8kcfs
08/28 17:15	51.54ft	78.9kcfs
08/28 17:01	51.54ft	78.9kcfs
08/28 17:00	51.54ft	78.9kcfs
08/28 16:45	51.51ft	78.3kcfs
08/28 16:31	51.51ft	78.3kcfs
08/28 16:30	51.46ft	77.4kcfs
08/28 16:16	51.46ft	77.4kcfs
08/28 16:15	51.43ft	76.9kcfs
08/28 16:01	51.43ft	76.9kcfs
08/28 16:00	51.39ft	76.2kcfs
08/28 15:46	51.39ft	76.2kcfs
08/28 15:45	51.35ft	75.5kcfs
08/28 15:31	51.35ft	75.5kcfs
08/28 15:30	51.33ft	75.1kcfs
08/28 15:16	51.33ft	75.1kcfs
08/28 15:15	51.26ft	74.2kcfs
08/28 15:00	51.26ft	74.2kcfs
08/28 14:45	51.18ft	73.4kcfs
08/28 14:31	51.18ft	73.4kcfs
08/28 14:30	51.10ft	72.7kcfs
08/28 14:16	51.10ft	72.7kcfs
08/28 14:15	51.04ft	72.2kcfs
08/28 14:01	51.04ft	72.2kcfs
08/28 14:00	50.98ft	71.7kcfs
08/28 13:46	50.98ft	71.7kcfs
08/28 13:45	50.92ft	71.2kcfs
08/28 13:31	50.92ft	71.2kcfs
08/28 13:30	50.82ft	70.4kcfs
08/28 13:16	50.82ft	70.4kcfs
08/28 13:15	50.73ft	69.7kcfs
08/28 13:00	50.73ft	69.7kcfs
08/28 12:46	50.64ft	69kcfs
08/28 12:45	50.52ft	68.4kcfs
08/28 12:31	50.52ft	68.4kcfs
08/28 12:30	50.38ft	67.8kcfs
08/28 12:16	50.38ft	67.8kcfs
08/28 12:15	50.29ft	67.5kcfs
08/28 12:01	50.29ft	67.5kcfs
08/28 12:00	50.20ft	67.1kcfs
08/28 11:45	50.07ft	66.6kcfs
08/28 11:31	50.07ft	66.6kcfs
08/28 11:30	50.03ft	66.5kcfs
08/28 11:16	50.03ft	66.5kcfs
08/28 11:15	49.98ft	66.3kcfs
08/28 11:01	49.98ft	66.3kcfs
08/28 11:00	49.89ft	65.9kcfs
08/28 10:46	49.89ft	65.9kcfs
08/28 10:45	49.80ft	65.6kcfs
08/28 10:31	49.80ft	65.6kcfs
08/28 10:30	49.72ft	65.3kcfs
08/28 10:16	49.72ft	65.3kcfs
08/28 10:15	49.68ft	65.1kcfs
08/28 10:01	49.68ft	65.1kcfs
08/28 10:00	49.61ft	64.9kcfs
08/28 09:46	49.61ft	64.9kcfs
08/28 09:45	49.53ft	64.6kcfs
08/28 09:31	49.53ft	64.6kcfs
08/28 09:30	49.47ft	64.4kcfs
08/28 09:15	49.37ft	64.1kcfs
08/28 09:01	49.37ft	64.1kcfs
08/28 09:00	49.37ft	64.1kcfs
08/28 08:45	49.22ft	63.6kcfs
08/28 08:31	49.22ft	63.6kcfs
08/28 08:30	49.15ft	63.4kcfs
08/28 08:16	49.15ft	63.4kcfs
08/28 08:15	49.07ft	63.2kcfs
08/28 08:00	49.07ft	63.2kcfs
08/28 07:45	48.92ft	62.8kcfs
08/28 07:31	48.92ft	62.8kcfs
08/28 07:30	48.86ft	62.6kcfs
08/28 07:16	48.86ft	62.6kcfs
08/28 07:15	48.78ft	62.4kcfs
08/28 07:01	48.78ft	62.4kcfs
08/28 07:00	48.73ft	62.3kcfs
08/28 06:45	48.61ft	61.9kcfs
08/28 06:30	48.56ft	61.8kcfs
08/28 06:16	48.56ft	61.8kcfs
08/28 06:15	48.47ft	61.6kcfs
08/28 06:01	48.47ft	61.6kcfs
08/28 06:00	48.41ft	61.4kcfs
08/28 05:46	48.41ft	61.4kcfs
08/28 05:45	48.37ft	61.3kcfs
08/28 05:31	48.37ft	61.3kcfs
08/28 05:30	48.27ft	61kcfs
08/28 05:16	48.27ft	61kcfs
08/28 05:15	48.17ft	60.7kcfs
08/28 05:01	48.17ft	60.7kcfs
08/28 05:00	48.09ft	60.5kcfs
08/28 04:46	48.09ft	60.5kcfs
08/28 04:45	48.01ft	60.3kcfs
08/28 04:31	48.01ft	60.3kcfs
08/28 04:30	47.93ft	60.1kcfs
08/28 04:16	47.93ft	60.1kcfs
08/28 04:15	47.87ft	59.9kcfs
08/28 04:01	47.87ft	59.9kcfs
08/28 04:00	47.80ft	59.7kcfs
08/28 03:45	47.71ft	59.5kcfs
08/28 03:31	47.71ft	59.5kcfs
08/28 03:30	47.62ft	59.3kcfs
08/28 03:16	47.62ft	59.3kcfs
08/28 03:15	47.54ft	59.2kcfs
08/28 03:01	47.54ft	59.2kcfs
08/28 03:00	47.46ft	59kcfs
08/28 02:46	47.46ft	59kcfs
08/28 02:45	47.37ft	58.8kcfs
08/28 02:31	47.37ft	58.8kcfs
08/28 02:30	47.29ft	58.6kcfs
08/28 02:16	47.29ft	58.6kcfs
08/28 02:15	47.17ft	58.4kcfs
08/28 02:00	47.06ft	58.1kcfs
08/28 01:46	47.06ft	58.1kcfs
08/28 01:45	46.98ft	58kcfs
08/28 01:31	46.98ft	58kcfs
08/28 01:30	46.89ft	57.8kcfs
08/28 01:16	46.89ft	57.8kcfs
08/28 01:15	46.79ft	57.6kcfs
08/28 01:01	46.79ft	57.6kcfs
08/28 01:00	46.66ft	57.3kcfs
08/28 00:45	46.54ft	57kcfs
08/28 00:31	46.54ft	57kcfs
08/28 00:30	46.45ft	56.8kcfs
08/28 00:16	46.45ft	56.8kcfs
08/28 00:15	46.33ft	56.6kcfs
08/28 00:01	46.33ft	56.6kcfs
08/28 00:00	46.21ft	56.3kcfs
08/27 23:46	46.21ft	56.3kcfs
08/27 23:45	46.07ft	56kcfs
08/27 23:30	45.99ft	55.9kcfs
08/27 23:16	45.99ft	55.9kcfs
08/27 23:15	45.83ft	55.5kcfs
08/27 23:01	45.83ft	55.5kcfs
08/27 23:00	45.72ft	55.3kcfs
08/27 22:46	45.72ft	55.3kcfs
08/27 22:45	45.59ft	55kcfs
08/27 22:30	45.46ft	54.8kcfs
08/27 22:15	45.32ft	54.5kcfs
08/27 22:01	45.32ft	54.5kcfs
08/27 22:00	45.32ft	54.5kcfs
08/27 21:45	45.05ft	53.9kcfs
08/27 21:31	45.05ft	53.9kcfs
08/27 21:30	44.91ft	53.6kcfs
08/27 21:16	44.91ft	53.6kcfs
08/27 21:15	44.80ft	53.4kcfs
08/27 21:01	44.80ft	53.4kcfs
08/27 21:00	44.69ft	53.2kcfs
08/27 20:45	44.55ft	52.9kcfs
08/27 20:30	44.43ft	52.6kcfs
08/27 20:16	44.43ft	52.6kcfs
08/27 20:15	44.29ft	52.3kcfs
08/27 20:01	44.29ft	52.3kcfs
08/27 20:00	44.15ft	52.1kcfs
08/27 19:45	44.01ft	51.8kcfs
08/27 19:31	44.01ft	51.8kcfs
08/27 19:30	43.87ft	51.5kcfs
08/27 19:16	43.87ft	51.5kcfs
08/27 19:15	43.66ft	51.1kcfs
08/27 19:00	43.55ft	50.8kcfs
08/27 18:46	43.55ft	50.8kcfs
08/27 18:45	43.39ft	50.5kcfs
08/27 18:31	43.39ft	50.5kcfs
08/27 18:30	43.28ft	50.3kcfs
08/27 18:15	43.17ft	50.1kcfs
08/27 18:01	43.17ft	50.1kcfs
08/27 18:00	43.06ft	49.8kcfs
08/27 17:46	43.06ft	49.8kcfs
08/27 17:45	42.95ft	49.6kcfs
08/27 17:30	42.88ft	49.5kcfs
08/27 17:15	42.78ft	49.3kcfs
08/27 17:00	42.65ft	49kcfs
Forecast Data (Issued 08-30-2017 15:00:00 CDT):
|Date(CDT)|	|Stage|	|--Flow-|
08/30 19:00	52.40ft	108kcfs
08/31 01:00	52.20ft	99.1kcfs
08/31 07:00	52.10ft	95kcfs
08/31 13:00	52.10ft	95kcfs
08/31 19:00	52.20ft	99.1kcfs
09/01 01:00	52.20ft	99.1kcfs
09/01 07:00	52.20ft	99.1kcfs
09/01 13:00	52.20ft	99.1kcfs
09/01 19:00	52.20ft	99.1kcfs
09/02 01:00	52.20ft	99.1kcfs
09/02 07:00	52.20ft	99.1kcfs
09/02 13:00	52.20ft	99.1kcfs
09/02 19:00	52.20ft	99.1kcfs
09/03 01:00	52.20ft	99.1kcfs
09/03 07:00	52.20ft	99.1kcfs
09/03 13:00	52.20ft	99.1kcfs
09/03 19:00	52.20ft	99.1kcfs
09/04 01:00	52.20ft	99.1kcfs
09/04 07:00	52.20ft	99.1kcfs
09/04 13:00	52.20ft	99.1kcfs

