.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #MamaBear, 4 Rackets, Adrian A, Assistant Coach Riley?, Batman, Bay City Rollers, beach lady, Bevo's Best, Blind Dog's Bluff, Blindhog2017, Bobbo, Brothers before others, Bumblerooski, Clutch City, Coog Crew, Cowboy, cutie pie, D-Bo, Duke Rules, Eclipse, Em214, Escalante, GlamKam, Go For Bones, Go For Broke, Godiva Nine!, hapagirl, I lost the password to my first bracket, Jake and the Neverland Pirates, Josh's Bracket, Julez, Juul, Katyusha, Kevin's bracket, Lightning, Luck be a lady, Lucky in 2018, Make Bowl Season Great Again, Maui Girl, MidWestWheat, Nurse Ratched, OSUX3, Pepper Bear, Pooh Bear, Putin's Dog, Rapacke's Bracket, Nerf Herder, Santa Cruz Bill, Santa's Helper, Sgt. Pepper, Sorbet, Static, Still a Beaver Believer, Superman, Swampdonkey, Texas Big Red, The Pick Doctor, The Striker, The Water and The Well, Thunder, Trojans, Tucker, UrbranLegend, Victorious Secret, War Beaver, War Eagle, Warren Mooned Me, West Coast Bias, Winning Jeff, Yoda, YOLO Pups
   "10", "Gasparila Bowl", "Temple", "Florida Internation (FIU)", "7.0", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Temple", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Temple", "Temple", "Temple", "Temple", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Temple", "Florida Internation (FIU)\ :sup:`*`", "Florida Internation (FIU)", "Temple", "Temple", "Temple", "Temple", "Florida Internation (FIU)", "Temple", "Temple", "Florida Internation (FIU)", "Temple", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Florida Internation (FIU)", "Temple", "Florida Internation (FIU)", "Temple", "Temple", "Temple", "Temple"
   "11", "Birmingham Bowl", "University South Florida (USF)", "Texas Tech", "2.5", "Texas Tech", "University South Florida (USF)", "Texas Tech", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "Texas Tech", "University South Florida (USF)", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "Texas Tech", "Texas Tech", "Texas Tech", "Texas Tech", "University South Florida (USF)", "Texas Tech", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "University South Florida (USF)", "Texas Tech", "Texas Tech", "Texas Tech", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "Texas Tech", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "University South Florida (USF)", "Texas Tech", "Texas Tech", "Texas Tech", "University South Florida (USF)", "University South Florida (USF)", "Texas Tech", "Texas Tech"
   "12", "Armed Forces Bowl", "San Diego State", "Army", "7.0", "Army", "San Diego State", "San Diego State", "San Diego State", "San Diego State", "San Diego State\ :sup:`*`", "Army", "San Diego State", "San Diego State", "Army\ :sup:`*`", "Army", "San Diego State", "San Diego State", "San Diego State", "San Diego State", "San Diego State", "San Diego State", "Army", "Army", "San Diego State", "San Diego State", "San Diego State", "San Diego State", "Army\ :sup:`*`", "San Diego State", "San Diego State", "Army", "San Diego State", "Army", "San Diego State", "San Diego State\ :sup:`*`", "Army", "Army\ :sup:`*`", "San Diego State", "Army", "San Diego State", "Army", "San Diego State", "San Diego State", "San Diego State", "Army", "Army", "San Diego State", "Army", "Army\ :sup:`*`", "Army", "San Diego State", "San Diego State", "Army", "San Diego State", "San Diego State", "San Diego State", "Army", "Army", "San Diego State", "San Diego State", "San Diego State", "San Diego State", "San Diego State\ :sup:`*`", "San Diego State", "Army", "San Diego State", "Army", "San Diego State", "Army", "San Diego State", "San Diego State\ :sup:`*`", "San Diego State\ :sup:`*`", "Army", "Army", "San Diego State\ :sup:`*`"
   "13", "Dollar General Bowl", "Toledo", "Appalachain State", "7.5", "Toledo", "Appalachain State", "Appalachain State", "Toledo", "Toledo", "Toledo", "Appalachain State", "Toledo", "Toledo", "Appalachain State", "Toledo", "Toledo", "Appalachain State", "Toledo", "Toledo", "Appalachain State", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo\ :sup:`*`", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Appalachain State", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Appalachain State", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Toledo", "Appalachain State", "Toledo", "Appalachain State", "Toledo", "Toledo", "Toledo", "Toledo\ :sup:`*`", "Appalachain State", "Toledo", "Toledo", "Appalachain State", "Appalachain State", "Toledo"
   "14", "Hawaii Bowl", "Houston", "Fresno State", "2.5", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Houston", "Houston", "Houston", "Houston", "Fresno State", "Houston", "Fresno State", "Fresno State", "Houston", "Houston", "Houston", "Houston", "Fresno State", "Houston", "Houston", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Houston", "Fresno State", "Houston", "Houston", "Fresno State", "Houston", "Houston", "Houston", "Houston", "Houston", "Houston", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Houston", "Fresno State", "Fresno State", "Houston", "Fresno State", "Houston", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Fresno State", "Houston", "Houston", "Houston", "Houston", "Fresno State", "Fresno State", "Fresno State", "Fresno State", "Fresno State", "Houston", "Houston", "Fresno State", "Fresno State", "Houston"
   "15", "Heart of Dallas", "Utah", "Wests Virginia", "7.0", "Wests Virginia", "Wests Virginia", "Wests Virginia", "Utah", "Utah", "Wests Virginia", "Utah", "Utah", "Wests Virginia", "Wests Virginia", "Wests Virginia", "Wests Virginia", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Wests Virginia", "Utah", "Utah", "Wests Virginia", "Wests Virginia", "Wests Virginia", "Wests Virginia", "Utah", "Utah", "Wests Virginia", "Utah", "Wests Virginia", "Utah", "Utah", "Wests Virginia", "Wests Virginia", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Wests Virginia", "Utah", "Wests Virginia", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Wests Virginia", "Utah", "Utah", "Utah\ :sup:`*`", "Utah", "Utah", "Wests Virginia", "Wests Virginia", "Wests Virginia", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah", "Utah"
   "16", "Quick Lane Bowl", "Duke", "Northern Illinois", "4.5", "Duke", "Northern Illinois", "Duke", "Duke", "Northern Illinois", "Duke", "Duke", "Duke", "Duke", "Northern Illinois", "Duke", "Northern Illinois", "Duke", "Duke", "Northern Illinois", "Duke", "Duke", "Duke", "Duke\ :sup:`*`", "Duke", "Duke", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Duke", "Duke", "Duke", "Duke", "Northern Illinois", "Northern Illinois", "Duke", "Northern Illinois", "Duke", "Duke", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Duke", "Duke", "Duke", "Northern Illinois", "Duke", "Northern Illinois", "Northern Illinois", "Duke", "Duke", "Duke", "Northern Illinois", "Northern Illinois", "Duke", "Duke", "Duke", "Northern Illinois", "Northern Illinois", "Duke", "Northern Illinois", "Duke", "Duke", "Duke", "Duke", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Duke", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Northern Illinois", "Duke"
   "17", "Cactus Bowl", "Kansas State", "UCLA", "2.5", "Kansas State", "UCLA", "UCLA", "UCLA", "Kansas State", "Kansas State", "UCLA", "Kansas State", "UCLA", "Kansas State", "Kansas State", "UCLA", "Kansas State", "UCLA", "UCLA", "Kansas State", "UCLA", "UCLA", "UCLA", "UCLA", "Kansas State", "Kansas State", "UCLA\ :sup:`*`", "UCLA", "Kansas State", "Kansas State", "UCLA\ :sup:`*`", "UCLA", "Kansas State", "UCLA", "UCLA", "UCLA\ :sup:`*`", "Kansas State", "UCLA", "UCLA", "Kansas State", "UCLA", "Kansas State", "Kansas State", "Kansas State", "UCLA", "UCLA", "Kansas State", "UCLA", "Kansas State", "UCLA", "Kansas State", "Kansas State", "UCLA", "UCLA", "Kansas State", "Kansas State", "Kansas State", "Kansas State", "UCLA", "UCLA", "UCLA", "UCLA", "UCLA", "Kansas State", "Kansas State", "Kansas State", "UCLA", "Kansas State", "Kansas State", "UCLA", "UCLA", "UCLA", "Kansas State", "Kansas State", "UCLA"
   "18", "Indpendence Bowl", "Florida State", "Southern Miss", "15.5", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State", "Florida State\ :sup:`*`", "Southern Miss", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Southern Miss", "Southern Miss", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State\ :sup:`*`", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Southern Miss", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State", "Florida State", "Florida State\ :sup:`*`", "Southern Miss", "Florida State\ :sup:`*`", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Southern Miss", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Florida State\ :sup:`*`", "Southern Miss", "Florida State", "Florida State", "Florida State\ :sup:`*`", "Florida State\ :sup:`*`", "Florida State", "Southern Miss", "Florida State", "Florida State"
   "19", "New Era Pinstripe Bowl", "Iowa", "Boston College", "3.0", "Iowa", "Iowa", "Iowa", "Iowa", "Boston College", "Iowa", "Boston College", "Boston College", "Boston College", "Iowa", "Boston College", "Boston College", "Iowa", "Boston College", "Iowa", "Iowa", "Iowa", "Iowa", "Iowa", "Boston College", "Iowa", "Boston College", "Iowa", "Iowa", "Boston College", "Iowa", "Boston College\ :sup:`*`", "Iowa", "Iowa", "Iowa", "Iowa", "Boston College", "Iowa", "Iowa", "Iowa", "Iowa", "Iowa", "Iowa", "Boston College", "Iowa", "Boston College", "Iowa", "Iowa", "Boston College", "Iowa", "Boston College", "Iowa", "Iowa", "Iowa", "Boston College", "Iowa", "Boston College", "Boston College", "Iowa", "Boston College", "Iowa", "Iowa", "Iowa", "Iowa", "Iowa", "Boston College", "Boston College", "Iowa", "Iowa", "Iowa", "Iowa", "Iowa", "Boston College", "Boston College", "Boston College", "Iowa"
   "20", "Foster Farms", "Arizona", "Purdue", "3.5", "Arizona", "Arizona", "Arizona", "Arizona", "Purdue", "Arizona", "Arizona", "Arizona", "Purdue", "Arizona", "Arizona", "Arizona", "Purdue", "Purdue", "Arizona", "Purdue", "Arizona", "Arizona", "Purdue", "Purdue", "Arizona", "Purdue", "Purdue", "Purdue", "Purdue", "Arizona", "Purdue", "Arizona", "Purdue", "Arizona", "Arizona", "Purdue", "Purdue", "Arizona", "Arizona", "Purdue", "Arizona", "Purdue", "Arizona", "Purdue", "Arizona", "Arizona", "Arizona", "Purdue", "Purdue", "Arizona", "Purdue", "Purdue", "Arizona", "Purdue", "Arizona", "Arizona", "Arizona", "Purdue", "Purdue", "Arizona", "Arizona", "Arizona", "Purdue", "Arizona", "Arizona", "Purdue", "Purdue", "Arizona", "Arizona", "Arizona", "Purdue", "Arizona", "Arizona", "Arizona", "Arizona"
   "21", "Texas Bowl", "Missouri", "Texas", "3.0", "Texas\ :sup:`*`", "Texas", "Texas", "Texas", "Missouri", "Missouri", "Texas", "Texas", "Missouri", "Texas", "Texas", "Missouri", "Texas", "Missouri", "Missouri", "Texas", "Texas", "Texas\ :sup:`*`", "Texas", "Texas", "Missouri", "Missouri\ :sup:`*`", "Texas", "Missouri", "Missouri\ :sup:`*`", "Texas", "Texas", "Texas", "Missouri\ :sup:`*`", "Missouri", "Texas", "Texas", "Missouri", "Texas", "Texas", "Texas", "Texas", "Texas", "Texas", "Missouri", "Texas", "Texas", "Missouri", "Texas", "Missouri", "Missouri", "Texas", "Texas", "Texas", "Texas", "Missouri", "Missouri", "Missouri", "Texas", "Texas", "Texas", "Texas", "Missouri", "Texas", "Missouri", "Texas", "Missouri\ :sup:`*`", "Texas", "Texas", "Texas", "Texas", "Missouri", "Texas", "Missouri", "Texas", "Texas"
